,nome_ppg,campus,codigo_CAPES,ME,DO,MP,DP
0,ADMINISTRAÇÃO,João Pessoa,24001015017P8,4,4,-,-
0,AGRONOMIA,Areia,24001031020P0,5,5,-,-
1,ANTROPOLOGIA,João Pessoa,24001015060P0,4,4,-,-
2,ARQUITETURA E URBANISMO,João Pessoa,24001015052P8,4,4,-,-
3,ARTES VISUAIS (UFPB J.P. - UFPE),João Pessoa,24001015056P3,3,-,-,-
1,BIODIVERSIDADE,Areia,24001031026P8,3,-,-,-
4,BIOLOGIA CELULAR E MOLECULAR,João Pessoa,24001015057P0,3,-,-,-
5,BIOTECNOLOGIA,João Pessoa,24001015074P1,3,-,-,-
2,CIÊNCIA ANIMAL,Areia,24001031025P1,4,-,-,-
6,CIÊNCIA DA INFORMAÇÃO,João Pessoa,24001015049P7,4,4,-,-
3,CIÊNCIA DO SOLO,Areia,24001031021P6,3,-,-,-
7,CIÊNCIA E ENGENHARIA DE MATERIAIS,João Pessoa,24001015061P7,3,3,-,-
8,CIÊNCIA E TECNOLOGIA DE ALIMENTOS,João Pessoa,24001015025P0,4,4,-,-
9,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,João Pessoa,24001015080P1,3,-,-,-
10,CIÊNCIAS AGRÁRIAS (AGROECOLOGIA),João Pessoa,24001015064P6,3,-,-,-
11,CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),João Pessoa,24001015029P6,5,5,-,-
12,CIÊNCIAS CONTÁBEIS,João Pessoa,24001015075P8,4,4,-,-
13,CIÊNCIAS DA NUTRIÇÃO,João Pessoa,24001015041P6,4,4,-,-
14,CIÊNCIAS DAS RELIGIÕES,João Pessoa,24001015050P5,4,4,-,-
15,CIÊNCIAS JURÍDICAS,João Pessoa,24001015037P9,4,4,-,-
16,"COMPUTAÇÃO, COMUNICAÇÃO E ARTES",João Pessoa,24001015078P7,3,-,-,-
17,COMUNICAÇÃO E CULTURAS MIDIÁTICAS,João Pessoa,24001015053P4,3,-,-,-
18,DESENVOLVIMENTO E INOVAÇÃO TECNOLÓGICA EM MEDICAMENTOS,João Pessoa,23001011047P1,-,4,-,-
19,DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA,João Pessoa,24001015038P5,4,-,-,-
20,"DIREITOS HUMANOS, CIDADANIA E POLÍTICAS PÚBLICAS",João Pessoa,24001015065P2,4,-,-,-
0,ECOLOGIA E MONITORAMENTO AMBIENTAL,Rio Tinto,24001040001P4,3,-,-,-
21,ECONOMIA,João Pessoa,24001015027P3,5,5,-,-
22,ECONOMIA DO SETOR PÚBLICO,João Pessoa,24001015069P8,-,-,4,-
23,EDUCAÇÃO,João Pessoa,24001015001P4,4,4,-,-
24,ENERGIAS RENOVÁVEIS,João Pessoa,24001015072P9,3,-,-,-
25,ENFERMAGEM,João Pessoa,24001015016P1,5,5,-,-
26,ENGENHARIA CIVIL E AMBIENTAL,João Pessoa,24001015040P0,4,4,-,-
27,ENGENHARIA DE PRODUÇÃO E SISTEMAS,João Pessoa,24001015084P7,A,-,-,-
28,ENGENHARIA ELÉTRICA,João Pessoa,24001015062P3,3,-,-,-
29,ENGENHARIA MECÂNICA,João Pessoa,24001015010P3,3,3,-,-
30,ENGENHARIA QUÍMICA,João Pessoa,24001015076P4,3,-,-,-
31,FILOSOFIA,João Pessoa,24001015005P0,3,-,-,-
33,FISIOTERAPIA,João Pessoa,24001015082P4,A,-,-,-
32,FÍSICA,João Pessoa,24001015002P0,5,5,-,-
34,GEOGRAFIA,João Pessoa,24001015042P2,4,4,-,-
35,GERONTOLOGIA,João Pessoa,24001015077P0,-,-,4,-
36,GESTÃO EM ORGANIZAÇÕES APRENDENTES,João Pessoa,24001015059P2,-,-,3,-
37,GESTÃO PÚBLICA E COOPERAÇÃO INTERNACIONAL,João Pessoa,24001015079P3,3,-,-,-
38,HISTÓRIA,João Pessoa,24001015045P1,3,-,-,-
39,INFORMÁTICA,João Pessoa,24001015047P4,4,-,-,-
40,JORNALISMO,João Pessoa,24001015068P1,-,-,3,-
41,LETRAS,João Pessoa,24001015051P1,4,4,-,-
43,LINGUÍSTICA E ENSINO,João Pessoa,24001015066P9,-,-,4,-
42,LINGÜÍSTICA,João Pessoa,24001015048P0,6,6,-,-
44,MATEMÁTICA,João Pessoa,24001015035P6,4,4,-,-
45,MODELAGEM MATEMÁTICA E COMPUTACIONAL,João Pessoa,24001015071P2,3,-,-,-
46,MODELOS DE DECISÃO E SAÚDE,João Pessoa,24001015055P7,5,5,-,-
47,MÚSICA,João Pessoa,24001015044P5,4,4,-,-
48,NEUROCIÊNCIA COGNITIVA E COMPORTAMENTO,João Pessoa,24001015067P5,4,4,-,-
49,ODONTOLOGIA,João Pessoa,24001015034P0,4,4,-,-
50,"POLÍTICAS PÚBLICAS, GESTÃO E AVALIAÇÃO DA EDUCAÇÃO SUPERIOR",João Pessoa,24001015073P5,-,-,3,-
51,PRODUTOS NATURAIS E SINTÉTICOS BIOATIVOS,João Pessoa,24001015015P5,6,6,-,-
52,PSICOLOGIA SOCIAL,João Pessoa,24001015063P0,5,5,-,-
53,QUÍMICA,João Pessoa,24001015030P4,5,5,-,-
54,SAÚDE COLETIVA,João Pessoa,24001015083P0,A,-,-,-
55,SERVIÇO SOCIAL,João Pessoa,24001015019P0,3,-,-,-
56,SOCIOLOGIA,João Pessoa,24001015004P3,4,4,-,-
57,TECNOLOGIA AGROALIMENTAR,João Pessoa,24001015054P0,3,-,-,-
